año,secretaria,codigodepartamento,nombredepartamento,codigomunicipio,nombremunicipio,codigoestablecimiento,nombreestablecimiento,zona,direccion,telefono,nombre_Rector,tipo_Establecimiento,etnias,sector,genero,niveles,jornadas,caracter,especialidad,grados,modelos_Educativos,capacidades_Excepcionales,discapacidades,idiomas,numero_de_Sedes,estado,prestador_de_Servicio,propiedad_Planta_Fisica,resguardo,matricula_Contratada,calendario,internado,estrato_Socio_Economico,correo_Electronico,cod_mun_norm
2016,TURBO,5,ANTIOQUIA,5837,TURBO,105837006062,JARDIN INFANTIL PIOLIN,URBANA,KR 14 98 A 64,8277779,ABUCHAR PALACIOS NELLY,CENTRO EDUCATIVO,,,,PREESCOLAR,TARDE,,,0,EDUCACIÓN TRADICIONAL,,,,1,,PERSONA NATURAL,PERSONA NATURAL,NO APLICA,NO,A,,,Abuchar15@hotmail.com,05837
2016,ANTIOQUIA,5,ANTIOQUIA,5120,CÁCERES,205120001095,I. E. PUENTE RIO MAN,RURAL,VDA. RIO MAN,836 22 26 y 3103714560,SIN PLAZA,INSTITUCION EDUCATIVA,,,,"PREESCOLAR,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","COMPLETA,FIN DE SEMANA",,,"0,1,2,3,4,5,6,7,8,9,21","PREESCOLAR ESCOLARIZADO_,POST PRIMARIA,ESCUELA NUEVA,PREESCOLAR NO ESCOLARIZADO/SEMIESCOLARIZADO   ,MODALIDAD VIRTUAL ASISTIDA UCN",,,,2,,OFICIAL,OFICIAL,NO APLICA,NO,A,,ESTRATO 1,amosorio69@yahoo.es,05120
2016,ANTIOQUIA,5,ANTIOQUIA,5051,ARBOLETES,205051002467,I. E. R. BAJO LA ARENOSA,RURAL,VDA BAJO LA ARENOSA,8245148,ORLANDO ANTONIO BARRERA MARTINEZ,INSTITUCION EDUCATIVA,,,,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","MAÑANA,COMPLETA,NOCTURNA,FIN DE SEMANA",,ACADÉMICA,"0,1,2,3,4,5,6,7,8,9,10,11,21,22,23,24,25,26","PREESCOLAR ESCOLARIZADO_,MEDIA RURAL,POST PRIMARIA,ESCUELA NUEVA,PREESCOLAR NO ESCOLARIZADO/SEMIESCOLARIZADO   ,TELESECUNDARIA,SER",,,,3,,OFICIAL,OFICIAL,NO APLICA,SI,A,,ESTRATO 1,arboletescerbajoarenosa@tareanet.edu.co,05051
2016,ANTIOQUIA,5,ANTIOQUIA,5051,ARBOLETES,205051000090,C. E. R. SAN JUDAS TADEO,RURAL,CORREG LAS NARANJITAS ,8201289,JIMENEZ DURANGO ALBERTO MARIO,INSTITUCION EDUCATIVA,,,,"PREESCOLAR,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","MAÑANA,COMPLETA,NOCTURNA",,,"0,1,2,3,4,5,6,7,8,9,21,22","PREESCOLAR ESCOLARIZADO_,ESCUELA NUEVA,PREESCOLAR NO ESCOLARIZADO/SEMIESCOLARIZADO   ,TELESECUNDARIA",,,,5,,OFICIAL,OFICIAL,NO APLICA,NO,A,,ESTRATO 1,arboletescersanjudast@tareanet.edu.co,05051
2016,ANTIOQUIA,5,ANTIOQUIA,5051,ARBOLETES,105051000028,I. E. MIGUEL VICENTE GARRIDO ORTIZ,URBANA,AV 12 00 00,820 02 81 ,HERNANDEZ JIMENEZ MANUEL,INSTITUCION EDUCATIVA,,,,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","MAÑANA,NOCTURNA,TARDE",,"OTRO,ACADÉMICA","0,1,2,3,4,5,6,7,8,9,10,11,23,24,25,26,99","PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,EDUCACIÓN TRADICIONAL,ACELERACIÓN DEL APRENDIZAJE",,,,3,,OFICIAL,OFICIAL,NO APLICA,NO,A,,ESTRATO 1,arboletesiearboletes@tareanet.edu.co,05051
2016,ANTIOQUIA,5,ANTIOQUIA,5051,ARBOLETES,105051000508,I. E.  JOSE MANUEL RESTREPO,"RURAL,URBANA",KRA 33  # 27 - 51,8200657,OBREGON HERNANDEZ DANIRIS LUCIA,INSTITUCION EDUCATIVA,,,,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","MAÑANA,COMPLETA,TARDE,FIN DE SEMANA",,ACADÉMICA,"0,1,2,3,4,5,6,7,8,9,10,11,21,22,23,24,25,26,99","PREESCOLAR ESCOLARIZADO_,PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,ESCUELA NUEVA,PREESCOLAR NO ESCOLARIZADO/SEMIESCOLARIZADO   ,EDUCACIÓN TRADICIONAL,ACELERACIÓN DEL APRENDIZAJE,SER,MODALIDAD VIRTUAL ASISTIDA UCN",,,,6,,OFICIAL,OFICIAL,NO APLICA,SI,A,,"ESTRATO 2,ESTRATO 1",arboletesiejmrestrepo@tareanet.edu.co,05051
2016,ANTIOQUIA,5,ANTIOQUIA,5051,ARBOLETES,205051001347,I. E. R. BUENOS AIRES,RURAL,CORREG. BUENOS AIRES ,8245121,ROBLEDO PINO GENARO,INSTITUCION EDUCATIVA,,,,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","MAÑANA,COMPLETA,NOCTURNA,TARDE,FIN DE SEMANA",,ACADÉMICA,"0,1,2,3,4,5,6,7,8,9,10,11,21,22,23,24,25,26","PREESCOLAR ESCOLARIZADO_,PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,ESCUELA NUEVA,PREESCOLAR NO ESCOLARIZADO/SEMIESCOLARIZADO   ,EDUCACIÓN TRADICIONAL,SER",,,,6,,OFICIAL,OFICIAL,NO APLICA,NO,A,,ESTRATO 1,arboletesierbuenosaires@tareanet.edu.co,05051
2016,ANTIOQUIA,5,ANTIOQUIA,5051,ARBOLETES,205051001959,I. E. R. LA CANDELARIA,RURAL,CORREG LA CANDELARIA,8243546,ALVAREZ JIMENEZ LEDYS MABEL,INSTITUCION EDUCATIVA,,,,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","MAÑANA,COMPLETA,NOCTURNA,FIN DE SEMANA",,ACADÉMICA,"0,1,2,3,4,5,6,7,8,9,10,11,21,22,23,24,25,26","PREESCOLAR ESCOLARIZADO_,PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,ESCUELA NUEVA,PREESCOLAR NO ESCOLARIZADO/SEMIESCOLARIZADO   ,EDUCACIÓN TRADICIONAL,SER",,,,9,,OFICIAL,OFICIAL,NO APLICA,SI,A,,ESTRATO 1,arboletesiercandelaria@tareanet.edu.co,05051
2016,ANTIOQUIA,5,ANTIOQUIA,5051,ARBOLETES,205051001339,I. E. R. EL CARMELO,RURAL,CORREG. EL CARMELO,8243117,VACANTE,INSTITUCION EDUCATIVA,,,,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","MAÑANA,COMPLETA,NOCTURNA,TARDE",,ACADÉMICA,"0,1,2,3,4,5,6,7,8,9,10,11,21,22","PREESCOLAR ESCOLARIZADO_,MEDIA RURAL,ESCUELA NUEVA,PREESCOLAR NO ESCOLARIZADO/SEMIESCOLARIZADO   ,EDUCACIÓN TRADICIONAL",,,,8,,OFICIAL,OFICIAL,NO APLICA,NO,A,,ESTRATO 1,arboletesierelcarmelo@tareanet.edu.co,05051
2016,ANTIOQUIA,5,ANTIOQUIA,5051,ARBOLETES,205051002700,I. E. R. GUADUAL ARRIBA,RURAL,CORREG.GUADUAL ARRIBA ,8201289,MORENO PAJARO LINEY MARIA,INSTITUCION EDUCATIVA,,,,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","MAÑANA,COMPLETA,NOCTURNA,FIN DE SEMANA",,ACADÉMICA,"0,1,2,3,4,5,6,7,8,9,10,11,21,22,23,24,25,26","PREESCOLAR ESCOLARIZADO_,PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,ESCUELA NUEVA,PREESCOLAR NO ESCOLARIZADO/SEMIESCOLARIZADO   ,EDUCACIÓN TRADICIONAL",,,,11,,OFICIAL,OFICIAL,NO APLICA,NO,A,,ESTRATO 1,arboletesierguadualar@tareanet.edu.co,05051
