COD_DANE_A,DPTO_CCDGO,MPIO_CCDGO,MPIO_CDPMP,CLAS_CCDGO,SETR_CCDGO,SETR_CCNCT,SECR_CCDGO,SECR_CCNCT,ZU_CCDGO,ZU_CDIVI,SETU_CCDGO,SETU_CCNCT,SECU_CCDGO,SECU_CCNCT,MANZ_CCDGO,AG_CCDGO,DATO_ANM,VERSION,AREA,LATITUD,LONGITUD,DENSIDAD,CTNENCUEST,TP3_1_SI,TP3_2_NO,TP3A_RI,TP3B_TCN,TP4_1_SI,TP4_2_NO,TP9_1_USO,TP9_2_USO,TP9_3_USO,TP9_4_USO,TP9_2_1_MI,TP9_2_2_MI,TP9_2_3_MI,TP9_2_4_MI,TP9_2_9_MI,TP9_3_1_NO,TP9_3_2_NO,TP9_3_3_NO,TP9_3_4_NO,TP9_3_5_NO,TP9_3_6_NO,TP9_3_7_NO,TP9_3_8_NO,TP9_3_9_NO,TP9_3_10_N,TP9_3_99_N,TVIVIENDA,TP14_1_TIP,TP14_2_TIP,TP14_3_TIP,TP14_4_TIP,TP14_5_TIP,TP14_6_TIP,TP15_1_OCU,TP15_2_OCU,TP15_3_OCU,TP15_4_OCU,TP16_HOG,TP19_EE_1,TP19_EE_2,TP19_EE_E1,TP19_EE_E2,TP19_EE_E3,TP19_EE_E4,TP19_EE_E5,TP19_EE_E6,TP19_EE_E9,TP19_ACU_1,TP19_ACU_2,TP19_ALC_1,TP19_ALC_2,TP19_GAS_1,TP19_GAS_2,TP19_GAS_9,TP19_RECB1,TP19_RECB2,TP19_INTE1,TP19_INTE2,TP19_INTE9,TP27_PERSO,PERSONAS_L,PERSONAS_S,TP32_1_SEX,TP32_2_SEX,TP34_1_EDA,TP34_2_EDA,TP34_3_EDA,TP34_4_EDA,TP34_5_EDA,TP34_6_EDA,TP34_7_EDA,TP34_8_EDA,TP34_9_EDA,TP51PRIMAR,TP51SECUND,TP51SUPERI,TP51POSTGR,TP51_13_ED,TP51_99_ED,CD_LC_CM,NMB_LC_CM,TP_LC_CM,Shape_Leng,Shape_Area
0504510000000000010103,05,045,05045,1,000,050451000,00,05045100000,000,05045000,0001,050451000000000001,01,05045100000000000101,03,026999,MANZANA,2018.0,12803.189597,7.89162069771,-76.6383936381,0.0049206488,30.0,0.0,30.0,0.0,0.0,0.0,30.0,27.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,27.0,7.0,10.0,10.0,0.0,0.0,0.0,25.0,0.0,0.0,2.0,25.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,22.0,3.0,0.0,25.0,0.0,25.0,0.0,1.0,24.0,0.0,63.0,0.0,63.0,32.0,31.0,10.0,10.0,12.0,9.0,7.0,6.0,4.0,1.0,4.0,27.0,25.0,1.0,0.0,5.0,1.0,04,JOSE JOAQUIN VELEZ,Comuna,0.00656833318007,1.04775280429e-06
0504510000000000010105,05,045,05045,1,000,050451000,00,05045100000,000,05045000,0001,050451000000000001,01,05045100000000000101,05,026998,MANZANA,2018.0,5263.87837803,7.89077366986,-76.6385604533,0.0410343826,82.0,0.0,82.0,0.0,0.0,0.0,82.0,77.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,79.0,36.0,34.0,9.0,0.0,0.0,0.0,69.0,4.0,0.0,6.0,70.0,69.0,0.0,11.0,58.0,0.0,0.0,0.0,0.0,0.0,65.0,4.0,64.0,5.0,34.0,33.0,2.0,69.0,0.0,29.0,38.0,2.0,216.0,0.0,216.0,114.0,102.0,20.0,47.0,34.0,39.0,25.0,25.0,16.0,8.0,2.0,60.0,117.0,17.0,1.0,5.0,4.0,04,JOSE JOAQUIN VELEZ,Comuna,0.00410561561472,4.30769761692e-07
0504510000000000010106,05,045,05045,1,000,050451000,00,05045100000,000,05045000,0001,050451000000000001,01,05045100000000000101,06,027011,MANZANA,2018.0,1696.65583666,7.89018423022,-76.639232057,0.0218076053,20.0,0.0,20.0,0.0,0.0,0.0,20.0,19.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,13.0,4.0,2.0,0.0,0.0,0.0,14.0,2.0,1.0,2.0,14.0,14.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,14.0,0.0,14.0,0.0,2.0,11.0,1.0,14.0,0.0,10.0,3.0,1.0,37.0,0.0,37.0,14.0,23.0,7.0,4.0,6.0,4.0,8.0,5.0,2.0,1.0,0.0,6.0,16.0,10.0,2.0,0.0,0.0,04,JOSE JOAQUIN VELEZ,Comuna,0.00152164501321,1.38845550499e-07
0504510000000000010107,05,045,05045,1,000,050451000,00,05045100000,000,05045000,0001,050451000000000001,01,05045100000000000101,07,027016,MANZANA,2018.0,3367.27442108,7.88983181139,-76.63980351,0.0098002111,19.0,0.0,19.0,0.0,0.0,0.0,19.0,18.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,14.0,4.0,1.0,0.0,0.0,0.0,12.0,3.0,1.0,3.0,12.0,12.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,1.0,12.0,0.0,12.0,0.0,5.0,6.0,1.0,12.0,0.0,9.0,2.0,1.0,33.0,0.0,33.0,16.0,17.0,5.0,5.0,6.0,6.0,3.0,6.0,1.0,1.0,0.0,3.0,9.0,14.0,2.0,0.0,2.0,04,JOSE JOAQUIN VELEZ,Comuna,0.0022897853402,2.75559845754e-07
0504510000000000010108,05,045,05045,1,000,050451000,00,05045100000,000,05045000,0001,050451000000000001,01,05045100000000000101,08,027029,MANZANA,2018.0,3922.30624248,7.8892551334,-76.6394051803,0.0181015954,30.0,0.0,30.0,0.0,0.0,0.0,30.0,26.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,26.0,14.0,12.0,0.0,0.0,0.0,0.0,23.0,1.0,0.0,2.0,23.0,23.0,0.0,0.0,1.0,1.0,21.0,0.0,0.0,0.0,23.0,0.0,23.0,0.0,12.0,11.0,0.0,23.0,0.0,22.0,1.0,0.0,71.0,0.0,71.0,33.0,38.0,13.0,8.0,10.0,6.0,16.0,5.0,9.0,2.0,2.0,11.0,26.0,18.0,9.0,1.0,0.0,04,JOSE JOAQUIN VELEZ,Comuna,0.00272289100071,3.2098055433e-07
0504510000000000010109,05,045,05045,1,000,050451000,00,05045100000,000,05045000,0001,050451000000000001,01,05045100000000000101,09,027024,MANZANA,2018.0,2272.46506148,7.88954028753,-76.6391997655,0.0180420813,31.0,0.0,31.0,0.0,0.0,0.0,31.0,29.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,29.0,12.0,17.0,0.0,0.0,0.0,0.0,19.0,4.0,1.0,5.0,19.0,19.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,0.0,19.0,0.0,19.0,0.0,14.0,3.0,2.0,19.0,0.0,12.0,5.0,2.0,41.0,0.0,41.0,18.0,23.0,1.0,6.0,10.0,11.0,4.0,6.0,0.0,2.0,1.0,6.0,13.0,14.0,7.0,0.0,0.0,04,JOSE JOAQUIN VELEZ,Comuna,0.00195165472127,1.85966601387e-07
0504510000000000010110,05,045,05045,1,000,050451000,00,05045100000,000,05045000,0001,050451000000000001,01,05045100000000000101,10,027020,MANZANA,2018.0,1736.39483968,7.88981009909,-76.6390112368,0.0046072472,12.0,0.0,12.0,0.0,0.0,0.0,12.0,7.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,7.0,5.0,2.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,4.0,1.0,1.0,4.0,0.0,5.0,0.0,4.0,1.0,0.0,8.0,0.0,8.0,5.0,3.0,2.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,04,JOSE JOAQUIN VELEZ,Comuna,0.00151705799854,1.42097459221e-07
0504510000000000010111,05,045,05045,1,000,050451000,00,05045100000,000,05045000,0001,050451000000000001,01,05045100000000000101,11,026990,MANZANA,2018.0,29586.2978501,7.89126147983,-76.6399745958,0.011796001,133.0,0.0,133.0,0.0,0.0,0.0,133.0,131.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,131.0,107.0,24.0,0.0,0.0,0.0,0.0,114.0,7.0,3.0,7.0,118.0,112.0,2.0,18.0,4.0,4.0,86.0,0.0,0.0,0.0,111.0,3.0,112.0,2.0,52.0,62.0,0.0,114.0,0.0,94.0,20.0,0.0,349.0,0.0,349.0,172.0,177.0,46.0,61.0,35.0,54.0,59.0,56.0,25.0,10.0,3.0,63.0,107.0,114.0,36.0,7.0,1.0,04,JOSE JOAQUIN VELEZ,Comuna,0.00928855821967,2.42119434339e-06
0504510000000000010112,05,045,05045,1,000,050451000,00,05045100000,000,05045000,0001,050451000000000001,01,05045100000000000101,12,027017,MANZANA,2018.0,8682.47576717,7.88902249162,-76.6385337886,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,04,JOSE JOAQUIN VELEZ,Comuna,0.00549563957608,7.10528221419e-07
0504510000000000010113,05,045,05045,1,000,050451000,00,05045100000,000,05045000,0001,050451000000000001,01,05045100000000000101,13,027021,MANZANA,2018.0,2747.36335916,7.88942576601,-76.6372263479,0.0342146219,38.0,0.0,38.0,0.0,0.0,0.0,38.0,35.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,9.0,26.0,0.0,0.0,0.0,0.0,29.0,6.0,0.0,0.0,29.0,29.0,0.0,11.0,17.0,1.0,0.0,0.0,0.0,0.0,28.0,1.0,27.0,2.0,20.0,9.0,0.0,29.0,0.0,14.0,15.0,0.0,94.0,0.0,94.0,40.0,54.0,16.0,15.0,23.0,12.0,11.0,10.0,6.0,1.0,0.0,17.0,44.0,16.0,3.0,1.0,1.0,04,JOSE JOAQUIN VELEZ,Comuna,0.00229284181192,2.24830111165e-07
